Year,Region,value,Variable_French,Case,Unit
2028,Terre-Neuve-et-Labrador,21.68160128,Léger classique,Référence,Mille mètres cubes par jour
2029,Terre-Neuve-et-Labrador,23.30059096,Léger classique,Référence,Mille mètres cubes par jour
2030,Terre-Neuve-et-Labrador,24.07695005,Léger classique,Référence,Mille mètres cubes par jour
2031,Terre-Neuve-et-Labrador,23.13762519,Léger classique,Référence,Mille mètres cubes par jour
2032,Terre-Neuve-et-Labrador,21.04922602,Léger classique,Référence,Mille mètres cubes par jour
2033,Terre-Neuve-et-Labrador,20.81448688,Léger classique,Référence,Mille mètres cubes par jour
2034,Terre-Neuve-et-Labrador,21.33851189,Léger classique,Référence,Mille mètres cubes par jour
2035,Terre-Neuve-et-Labrador,21.93229219,Léger classique,Référence,Mille mètres cubes par jour
2036,Terre-Neuve-et-Labrador,21.29782885,Léger classique,Référence,Mille mètres cubes par jour
2037,Terre-Neuve-et-Labrador,19.49705125,Léger classique,Référence,Mille mètres cubes par jour
2038,Terre-Neuve-et-Labrador,17.36659659,Léger classique,Référence,Mille mètres cubes par jour
2039,Terre-Neuve-et-Labrador,15.311287,Léger classique,Référence,Mille mètres cubes par jour
2040,Terre-Neuve-et-Labrador,13.15171085,Léger classique,Référence,Mille mètres cubes par jour
2005,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2006,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2007,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2008,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2009,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2010,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2011,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2012,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2013,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2014,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2015,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2016,Terre-Neuve-et-Labrador,0,Lourd classique,Référence,Mille mètres cubes par jour
2017,Terre-Neuve-et-Labrador,0.336,Lourd classique,Référence,Mille mètres cubes par jour
2018,Terre-Neuve-et-Labrador,7.773707986,Lourd classique,Référence,Mille mètres cubes par jour
2019,Terre-Neuve-et-Labrador,12.50310026,Lourd classique,Référence,Mille mètres cubes par jour
2020,Terre-Neuve-et-Labrador,19.08709339,Lourd classique,Référence,Mille mètres cubes par jour
2021,Terre-Neuve-et-Labrador,22.16159496,Lourd classique,Référence,Mille mètres cubes par jour
2022,Terre-Neuve-et-Labrador,23.57849216,Lourd classique,Référence,Mille mètres cubes par jour
2023,Terre-Neuve-et-Labrador,22.57750644,Lourd classique,Référence,Mille mètres cubes par jour
2024,Terre-Neuve-et-Labrador,22.4821139,Lourd classique,Référence,Mille mètres cubes par jour
2025,Terre-Neuve-et-Labrador,21.26649496,Lourd classique,Référence,Mille mètres cubes par jour
2026,Terre-Neuve-et-Labrador,19.18534771,Lourd classique,Référence,Mille mètres cubes par jour
2027,Terre-Neuve-et-Labrador,17.40818468,Lourd classique,Référence,Mille mètres cubes par jour
2028,Terre-Neuve-et-Labrador,14.795383,Lourd classique,Référence,Mille mètres cubes par jour
2029,Terre-Neuve-et-Labrador,12.41867786,Lourd classique,Référence,Mille mètres cubes par jour
2030,Terre-Neuve-et-Labrador,10.5613851,Lourd classique,Référence,Mille mètres cubes par jour
2031,Terre-Neuve-et-Labrador,9.239244491,Lourd classique,Référence,Mille mètres cubes par jour
2032,Terre-Neuve-et-Labrador,8.32633788,Lourd classique,Référence,Mille mètres cubes par jour
2033,Terre-Neuve-et-Labrador,7.098635887,Lourd classique,Référence,Mille mètres cubes par jour
2034,Terre-Neuve-et-Labrador,6.059811123,Lourd classique,Référence,Mille mètres cubes par jour
2035,Terre-Neuve-et-Labrador,5.461699895,Lourd classique,Référence,Mille mètres cubes par jour
2036,Terre-Neuve-et-Labrador,5.020986359,Lourd classique,Référence,Mille mètres cubes par jour
2037,Terre-Neuve-et-Labrador,5.027239144,Lourd classique,Référence,Mille mètres cubes par jour
2038,Terre-Neuve-et-Labrador,4.696703992,Lourd classique,Référence,Mille mètres cubes par jour
2039,Terre-Neuve-et-Labrador,4.240897526,Lourd classique,Référence,Mille mètres cubes par jour
2040,Terre-Neuve-et-Labrador,3.839385547,Lourd classique,Référence,Mille mètres cubes par jour
2005,Terre-Neuve-et-Labrador,48.47,Totale,Référence,Mille mètres cubes par jour
2006,Terre-Neuve-et-Labrador,48.28,Totale,Référence,Mille mètres cubes par jour
2007,Terre-Neuve-et-Labrador,58.58,Totale,Référence,Mille mètres cubes par jour
2008,Terre-Neuve-et-Labrador,54.55,Totale,Référence,Mille mètres cubes par jour
2009,Terre-Neuve-et-Labrador,42.55,Totale,Référence,Mille mètres cubes par jour
2010,Terre-Neuve-et-Labrador,43.85,Totale,Référence,Mille mètres cubes par jour
2011,Terre-Neuve-et-Labrador,42.14,Totale,Référence,Mille mètres cubes par jour
2012,Terre-Neuve-et-Labrador,31.43,Totale,Référence,Mille mètres cubes par jour
2013,Terre-Neuve-et-Labrador,36.87,Totale,Référence,Mille mètres cubes par jour
2014,Terre-Neuve-et-Labrador,34.34,Totale,Référence,Mille mètres cubes par jour
2015,Terre-Neuve-et-Labrador,27.348,Totale,Référence,Mille mètres cubes par jour
2016,Terre-Neuve-et-Labrador,33.334,Totale,Référence,Mille mètres cubes par jour
2017,Terre-Neuve-et-Labrador,35.096,Totale,Référence,Mille mètres cubes par jour
2018,Terre-Neuve-et-Labrador,38.75,Totale,Référence,Mille mètres cubes par jour
2019,Terre-Neuve-et-Labrador,42.47154967,Totale,Référence,Mille mètres cubes par jour
2020,Terre-Neuve-et-Labrador,42.4608816,Totale,Référence,Mille mètres cubes par jour
2021,Terre-Neuve-et-Labrador,45.98060752,Totale,Référence,Mille mètres cubes par jour
2022,Terre-Neuve-et-Labrador,46.89168379,Totale,Référence,Mille mètres cubes par jour
2023,Terre-Neuve-et-Labrador,49.24642496,Totale,Référence,Mille mètres cubes par jour
2024,Terre-Neuve-et-Labrador,48.49109042,Totale,Référence,Mille mètres cubes par jour
2025,Terre-Neuve-et-Labrador,46.4892596,Totale,Référence,Mille mètres cubes par jour
2026,Terre-Neuve-et-Labrador,42.28639971,Totale,Référence,Mille mètres cubes par jour
2027,Terre-Neuve-et-Labrador,38.72371315,Totale,Référence,Mille mètres cubes par jour
2028,Terre-Neuve-et-Labrador,36.47698428,Totale,Référence,Mille mètres cubes par jour
2029,Terre-Neuve-et-Labrador,35.71926882,Totale,Référence,Mille mètres cubes par jour
2030,Terre-Neuve-et-Labrador,34.63833515,Totale,Référence,Mille mètres cubes par jour
2031,Terre-Neuve-et-Labrador,32.37686968,Totale,Référence,Mille mètres cubes par jour
2032,Terre-Neuve-et-Labrador,29.3755639,Totale,Référence,Mille mètres cubes par jour
2033,Terre-Neuve-et-Labrador,27.91312277,Totale,Référence,Mille mètres cubes par jour
2034,Terre-Neuve-et-Labrador,27.39832301,Totale,Référence,Mille mètres cubes par jour
2035,Terre-Neuve-et-Labrador,27.39399208,Totale,Référence,Mille mètres cubes par jour
2036,Terre-Neuve-et-Labrador,26.31881521,Totale,Référence,Mille mètres cubes par jour
2037,Terre-Neuve-et-Labrador,24.52429039,Totale,Référence,Mille mètres cubes par jour
2038,Terre-Neuve-et-Labrador,22.06330058,Totale,Référence,Mille mètres cubes par jour
2039,Terre-Neuve-et-Labrador,19.55218453,Totale,Référence,Mille mètres cubes par jour
2040,Terre-Neuve-et-Labrador,16.9910964,Totale,Référence,Mille mètres cubes par jour
2005,Territoires du Nord-Ouest,2.99,Léger classique,Référence,Mille mètres cubes par jour
2006,Territoires du Nord-Ouest,2.97,Léger classique,Référence,Mille mètres cubes par jour
2007,Territoires du Nord-Ouest,2.79,Léger classique,Référence,Mille mètres cubes par jour
2008,Territoires du Nord-Ouest,2.58,Léger classique,Référence,Mille mètres cubes par jour
2009,Territoires du Nord-Ouest,2.47,Léger classique,Référence,Mille mètres cubes par jour
2010,Territoires du Nord-Ouest,2.39,Léger classique,Référence,Mille mètres cubes par jour
2011,Territoires du Nord-Ouest,1.67,Léger classique,Référence,Mille mètres cubes par jour
2012,Territoires du Nord-Ouest,2.07,Léger classique,Référence,Mille mètres cubes par jour
2013,Territoires du Nord-Ouest,1.96,Léger classique,Référence,Mille mètres cubes par jour
2014,Territoires du Nord-Ouest,1.69,Léger classique,Référence,Mille mètres cubes par jour
2015,Territoires du Nord-Ouest,1.576,Léger classique,Référence,Mille mètres cubes par jour
2016,Territoires du Nord-Ouest,1.428,Léger classique,Référence,Mille mètres cubes par jour
2017,Territoires du Nord-Ouest,0.054,Léger classique,Référence,Mille mètres cubes par jour
2018,Territoires du Nord-Ouest,0.1,Léger classique,Référence,Mille mètres cubes par jour
2019,Territoires du Nord-Ouest,1.212923077,Léger classique,Référence,Mille mètres cubes par jour
2020,Territoires du Nord-Ouest,1.30584058,Léger classique,Référence,Mille mètres cubes par jour
2021,Territoires du Nord-Ouest,1.321794138,Léger classique,Référence,Mille mètres cubes par jour
2022,Territoires du Nord-Ouest,1.282140314,Léger classique,Référence,Mille mètres cubes par jour
2023,Territoires du Nord-Ouest,1.243676105,Léger classique,Référence,Mille mètres cubes par jour
2024,Territoires du Nord-Ouest,1.206365821,Léger classique,Référence,Mille mètres cubes par jour
2025,Territoires du Nord-Ouest,1.170174847,Léger classique,Référence,Mille mètres cubes par jour
2026,Territoires du Nord-Ouest,1.123706453,Léger classique,Référence,Mille mètres cubes par jour
2027,Territoires du Nord-Ouest,1.078975726,Léger classique,Référence,Mille mètres cubes par jour
2028,Territoires du Nord-Ouest,1.025267508,Léger classique,Référence,Mille mètres cubes par jour
2029,Territoires du Nord-Ouest,0.984150009,Léger classique,Référence,Mille mètres cubes par jour
2030,Territoires du Nord-Ouest,0.94457682,Léger classique,Référence,Mille mètres cubes par jour
2031,Territoires du Nord-Ouest,0.906492286,Léger classique,Référence,Mille mètres cubes par jour
2032,Territoires du Nord-Ouest,0.869842705,Léger classique,Référence,Mille mètres cubes par jour
2033,Territoires du Nord-Ouest,0.843747424,Léger classique,Référence,Mille mètres cubes par jour
2034,Territoires du Nord-Ouest,0.809538969,Léger classique,Référence,Mille mètres cubes par jour
2035,Territoires du Nord-Ouest,0.776623648,Léger classique,Référence,Mille mètres cubes par jour
2036,Territoires du Nord-Ouest,0.753324939,Léger classique,Référence,Mille mètres cubes par jour
2037,Territoires du Nord-Ouest,0.722606022,Léger classique,Référence,Mille mètres cubes par jour
2038,Territoires du Nord-Ouest,0.693052247,Léger classique,Référence,Mille mètres cubes par jour
2039,Territoires du Nord-Ouest,0.67226068,Léger classique,Référence,Mille mètres cubes par jour
2040,Territoires du Nord-Ouest,0.644571245,Léger classique,Référence,Mille mètres cubes par jour
2005,Territoires du Nord-Ouest,2.99,Totale,Référence,Mille mètres cubes par jour
2006,Territoires du Nord-Ouest,2.97,Totale,Référence,Mille mètres cubes par jour
2007,Territoires du Nord-Ouest,2.79,Totale,Référence,Mille mètres cubes par jour
2008,Territoires du Nord-Ouest,2.58,Totale,Référence,Mille mètres cubes par jour
2009,Territoires du Nord-Ouest,2.47,Totale,Référence,Mille mètres cubes par jour
2010,Territoires du Nord-Ouest,2.39,Totale,Référence,Mille mètres cubes par jour
2011,Territoires du Nord-Ouest,1.67,Totale,Référence,Mille mètres cubes par jour
2012,Territoires du Nord-Ouest,2.07,Totale,Référence,Mille mètres cubes par jour
2013,Territoires du Nord-Ouest,1.96,Totale,Référence,Mille mètres cubes par jour
2014,Territoires du Nord-Ouest,1.69,Totale,Référence,Mille mètres cubes par jour
2015,Territoires du Nord-Ouest,1.576,Totale,Référence,Mille mètres cubes par jour
2016,Territoires du Nord-Ouest,1.428,Totale,Référence,Mille mètres cubes par jour
2017,Territoires du Nord-Ouest,0.054,Totale,Référence,Mille mètres cubes par jour
2018,Territoires du Nord-Ouest,0.1,Totale,Référence,Mille mètres cubes par jour
2019,Territoires du Nord-Ouest,1.212923077,Totale,Référence,Mille mètres cubes par jour
2020,Territoires du Nord-Ouest,1.30584058,Totale,Référence,Mille mètres cubes par jour
2021,Territoires du Nord-Ouest,1.321794138,Totale,Référence,Mille mètres cubes par jour
2022,Territoires du Nord-Ouest,1.282140314,Totale,Référence,Mille mètres cubes par jour
2023,Territoires du Nord-Ouest,1.243676105,Totale,Référence,Mille mètres cubes par jour
2024,Territoires du Nord-Ouest,1.206365821,Totale,Référence,Mille mètres cubes par jour
2025,Territoires du Nord-Ouest,1.170174847,Totale,Référence,Mille mètres cubes par jour
2026,Territoires du Nord-Ouest,1.123706453,Totale,Référence,Mille mètres cubes par jour
2027,Territoires du Nord-Ouest,1.078975726,Totale,Référence,Mille mètres cubes par jour
2028,Territoires du Nord-Ouest,1.025267508,Totale,Référence,Mille mètres cubes par jour
2029,Territoires du Nord-Ouest,0.984150009,Totale,Référence,Mille mètres cubes par jour
2030,Territoires du Nord-Ouest,0.94457682,Totale,Référence,Mille mètres cubes par jour
2031,Territoires du Nord-Ouest,0.906492286,Totale,Référence,Mille mètres cubes par jour
2032,Territoires du Nord-Ouest,0.869842705,Totale,Référence,Mille mètres cubes par jour
2033,Territoires du Nord-Ouest,0.843747424,Totale,Référence,Mille mètres cubes par jour
2034,Territoires du Nord-Ouest,0.809538969,Totale,Référence,Mille mètres cubes par jour
2035,Territoires du Nord-Ouest,0.776623648,Totale,Référence,Mille mètres cubes par jour
2036,Territoires du Nord-Ouest,0.753324939,Totale,Référence,Mille mètres cubes par jour
2037,Territoires du Nord-Ouest,0.722606022,Totale,Référence,Mille mètres cubes par jour
2038,Territoires du Nord-Ouest,0.693052247,Totale,Référence,Mille mètres cubes par jour
2039,Territoires du Nord-Ouest,0.67226068,Totale,Référence,Mille mètres cubes par jour
2040,Territoires du Nord-Ouest,0.644571245,Totale,Référence,Mille mètres cubes par jour
2005,Canada,120.3939447,Léger classique,Prix élevés,Mille mètres cubes par jour
2006,Canada,119.3351015,Léger classique,Prix élevés,Mille mètres cubes par jour
2007,Canada,128.4954072,Léger classique,Prix élevés,Mille mètres cubes par jour
2008,Canada,126.621042,Léger classique,Prix élevés,Mille mètres cubes par jour
2009,Canada,113.4217027,Léger classique,Prix élevés,Mille mètres cubes par jour
2010,Canada,115.2757289,Léger classique,Prix élevés,Mille mètres cubes par jour
2011,Canada,119.7834217,Léger classique,Prix élevés,Mille mètres cubes par jour
2012,Canada,121.6098833,Léger classique,Prix élevés,Mille mètres cubes par jour
2013,Canada,130.7790526,Léger classique,Prix élevés,Mille mètres cubes par jour
2014,Canada,130.9087101,Léger classique,Prix élevés,Mille mètres cubes par jour
2015,Canada,114.6754806,Léger classique,Prix élevés,Mille mètres cubes par jour
2016,Canada,107.5690542,Léger classique,Prix élevés,Mille mètres cubes par jour
2017,Canada,106.408596,Léger classique,Prix élevés,Mille mètres cubes par jour
2018,Canada,102.777176,Léger classique,Prix élevés,Mille mètres cubes par jour
2019,Canada,104.3442299,Léger classique,Prix élevés,Mille mètres cubes par jour
2020,Canada,99.94666712,Léger classique,Prix élevés,Mille mètres cubes par jour
2021,Canada,104.6897725,Léger classique,Prix élevés,Mille mètres cubes par jour
2022,Canada,108.0015013,Léger classique,Prix élevés,Mille mètres cubes par jour
2023,Canada,119.9380837,Léger classique,Prix élevés,Mille mètres cubes par jour
2024,Canada,129.9720871,Léger classique,Prix élevés,Mille mètres cubes par jour
2025,Canada,139.277298,Léger classique,Prix élevés,Mille mètres cubes par jour
2026,Canada,148.1828884,Léger classique,Prix élevés,Mille mètres cubes par jour
2027,Canada,158.2795206,Léger classique,Prix élevés,Mille mètres cubes par jour
2028,Canada,164.586394,Léger classique,Prix élevés,Mille mètres cubes par jour
2029,Canada,171.4988656,Léger classique,Prix élevés,Mille mètres cubes par jour
2030,Canada,176.5412418,Léger classique,Prix élevés,Mille mètres cubes par jour
2031,Canada,180.5419884,Léger classique,Prix élevés,Mille mètres cubes par jour
2032,Canada,184.5917586,Léger classique,Prix élevés,Mille mètres cubes par jour
2033,Canada,191.3084417,Léger classique,Prix élevés,Mille mètres cubes par jour
2034,Canada,195.3739685,Léger classique,Prix élevés,Mille mètres cubes par jour
2035,Canada,200.2407964,Léger classique,Prix élevés,Mille mètres cubes par jour
2036,Canada,205.4280048,Léger classique,Prix élevés,Mille mètres cubes par jour
2037,Canada,208.9318221,Léger classique,Prix élevés,Mille mètres cubes par jour
2038,Canada,209.1606035,Léger classique,Prix élevés,Mille mètres cubes par jour
2039,Canada,210.5316151,Léger classique,Prix élevés,Mille mètres cubes par jour
2040,Canada,210.7687918,Léger classique,Prix élevés,Mille mètres cubes par jour
2005,Canada,95.71437169,Lourd classique,Prix élevés,Mille mètres cubes par jour
2006,Canada,94.53332481,Lourd classique,Prix élevés,Mille mètres cubes par jour
2007,Canada,92.09394825,Lourd classique,Prix élevés,Mille mètres cubes par jour
2008,Canada,87.98554133,Lourd classique,Prix élevés,Mille mètres cubes par jour
2009,Canada,80.18415712,Lourd classique,Prix élevés,Mille mètres cubes par jour
2010,Canada,79.54477566,Lourd classique,Prix élevés,Mille mètres cubes par jour
2011,Canada,79.77054329,Lourd classique,Prix élevés,Mille mètres cubes par jour
2012,Canada,86.93567494,Lourd classique,Prix élevés,Mille mètres cubes par jour
2013,Canada,89.22507967,Lourd classique,Prix élevés,Mille mètres cubes par jour
2014,Canada,98.75005485,Lourd classique,Prix élevés,Mille mètres cubes par jour
2015,Canada,86.70910628,Lourd classique,Prix élevés,Mille mètres cubes par jour
2016,Canada,81.28237847,Lourd classique,Prix élevés,Mille mètres cubes par jour
2017,Canada,85.91987842,Lourd classique,Prix élevés,Mille mètres cubes par jour
2018,Canada,96.36973647,Lourd classique,Prix élevés,Mille mètres cubes par jour
2019,Canada,105.0226116,Lourd classique,Prix élevés,Mille mètres cubes par jour
2020,Canada,115.8559431,Lourd classique,Prix élevés,Mille mètres cubes par jour
2021,Canada,124.7383919,Lourd classique,Prix élevés,Mille mètres cubes par jour
2022,Canada,131.534735,Lourd classique,Prix élevés,Mille mètres cubes par jour
2023,Canada,139.9466523,Lourd classique,Prix élevés,Mille mètres cubes par jour
2024,Canada,149.1380241,Lourd classique,Prix élevés,Mille mètres cubes par jour
2025,Canada,157.6951335,Lourd classique,Prix élevés,Mille mètres cubes par jour
2026,Canada,163.7057575,Lourd classique,Prix élevés,Mille mètres cubes par jour
2027,Canada,169.0895575,Lourd classique,Prix élevés,Mille mètres cubes par jour
2028,Canada,173.1835284,Lourd classique,Prix élevés,Mille mètres cubes par jour
2029,Canada,176.8882027,Lourd classique,Prix élevés,Mille mètres cubes par jour
2030,Canada,180.703151,Lourd classique,Prix élevés,Mille mètres cubes par jour
2031,Canada,184.7315492,Lourd classique,Prix élevés,Mille mètres cubes par jour
2032,Canada,188.812461,Lourd classique,Prix élevés,Mille mètres cubes par jour
2033,Canada,192.0493964,Lourd classique,Prix élevés,Mille mètres cubes par jour
2034,Canada,195.0092268,Lourd classique,Prix élevés,Mille mètres cubes par jour
2035,Canada,198.0667677,Lourd classique,Prix élevés,Mille mètres cubes par jour
2036,Canada,200.4845099,Lourd classique,Prix élevés,Mille mètres cubes par jour
2037,Canada,202.9447844,Lourd classique,Prix élevés,Mille mètres cubes par jour
2038,Canada,204.2269495,Lourd classique,Prix élevés,Mille mètres cubes par jour
2039,Canada,204.97017,Lourd classique,Prix élevés,Mille mètres cubes par jour
2040,Canada,205.274693,Lourd classique,Prix élevés,Mille mètres cubes par jour
2005,Canada,19.07903094,C5+,Prix élevés,Mille mètres cubes par jour
2006,Canada,19.69469227,C5+,Prix élevés,Mille mètres cubes par jour
2007,Canada,19.78087757,C5+,Prix élevés,Mille mètres cubes par jour
2008,Canada,18.96638768,C5+,Prix élevés,Mille mètres cubes par jour
2009,Canada,17.45007437,C5+,Prix élevés,Mille mètres cubes par jour
2010,Canada,16.45942987,C5+,Prix élevés,Mille mètres cubes par jour
2011,Canada,15.363477,C5+,Prix élevés,Mille mètres cubes par jour
2012,Canada,14.20086233,C5+,Prix élevés,Mille mètres cubes par jour
2013,Canada,14.40264758,C5+,Prix élevés,Mille mètres cubes par jour
2014,Canada,15.34068442,C5+,Prix élevés,Mille mètres cubes par jour
2015,Canada,15.55575783,C5+,Prix élevés,Mille mètres cubes par jour
2016,Canada,15.45139602,C5+,Prix élevés,Mille mètres cubes par jour
2017,Canada,16.54324273,C5+,Prix élevés,Mille mètres cubes par jour
2018,Canada,17.95251793,C5+,Prix élevés,Mille mètres cubes par jour
2019,Canada,18.39812499,C5+,Prix élevés,Mille mètres cubes par jour
2020,Canada,18.52574441,C5+,Prix élevés,Mille mètres cubes par jour
2021,Canada,18.57370547,C5+,Prix élevés,Mille mètres cubes par jour
2022,Canada,18.86276982,C5+,Prix élevés,Mille mètres cubes par jour
2023,Canada,19.28074902,C5+,Prix élevés,Mille mètres cubes par jour
2024,Canada,19.81345855,C5+,Prix élevés,Mille mètres cubes par jour
2025,Canada,20.56174658,C5+,Prix élevés,Mille mètres cubes par jour
2026,Canada,21.54771396,C5+,Prix élevés,Mille mètres cubes par jour
2027,Canada,22.20383483,C5+,Prix élevés,Mille mètres cubes par jour
2028,Canada,22.51740914,C5+,Prix élevés,Mille mètres cubes par jour
2029,Canada,22.8215714,C5+,Prix élevés,Mille mètres cubes par jour
2030,Canada,23.56336496,C5+,Prix élevés,Mille mètres cubes par jour
2031,Canada,24.68536203,C5+,Prix élevés,Mille mètres cubes par jour
2032,Canada,25.55445434,C5+,Prix élevés,Mille mètres cubes par jour
2033,Canada,26.22800022,C5+,Prix élevés,Mille mètres cubes par jour
2034,Canada,26.94668641,C5+,Prix élevés,Mille mètres cubes par jour
2035,Canada,27.69334403,C5+,Prix élevés,Mille mètres cubes par jour
2036,Canada,28.45799472,C5+,Prix élevés,Mille mètres cubes par jour
2037,Canada,29.21140374,C5+,Prix élevés,Mille mètres cubes par jour
2038,Canada,29.95302226,C5+,Prix élevés,Mille mètres cubes par jour
2039,Canada,30.71941084,C5+,Prix élevés,Mille mètres cubes par jour
2040,Canada,31.50414926,C5+,Prix élevés,Mille mètres cubes par jour
2005,Canada,7.152283686,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2006,Canada,7.466698063,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2007,Canada,7.49657349,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2008,Canada,7.20451177,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2009,Canada,6.835235701,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2010,Canada,6.482360565,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2011,Canada,7.227444053,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2012,Canada,8.027524747,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2013,Canada,9.835759013,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2014,Canada,14.3940486,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2015,Canada,20.29351402,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2016,Canada,27.60553185,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2017,Canada,35.93860983,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2018,Canada,43.27967591,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2019,Canada,48.76487226,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2020,Canada,52.82885873,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2021,Canada,56.56760232,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2022,Canada,60.43021945,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2023,Canada,64.56592142,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2024,Canada,68.87189768,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2025,Canada,73.6985378,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2026,Canada,79.22157646,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2027,Canada,83.58757313,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2028,Canada,86.69921692,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2029,Canada,89.59267147,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2030,Canada,93.86738399,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2031,Canada,99.49190442,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2032,Canada,104.4328,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2033,Canada,108.8150337,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2034,Canada,113.3304767,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2035,Canada,117.9003261,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2036,Canada,122.5056196,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2037,Canada,127.0331222,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2038,Canada,131.4683929,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2039,Canada,135.9399712,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2040,Canada,140.4420024,Condensat de puits,Prix élevés,Mille mètres cubes par jour
2005,Canada,99.6,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2006,Canada,120.9,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2007,Canada,124.7,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2008,Canada,114.7,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2009,Canada,131.2,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2010,Canada,136.2429921,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2011,Canada,141.8990589,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2012,Canada,148.2161964,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2013,Canada,155.178086,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2014,Canada,152.653423,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2015,Canada,184.6506499,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2016,Canada,182.8334397,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2017,Canada,202.8157822,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2018,Canada,234.7998298,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2019,Canada,255.4980914,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2020,Canada,264.1489769,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2021,Canada,265.7623936,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2022,Canada,270.7133654,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2023,Canada,277.7419254,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2024,Canada,279.1165153,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2025,Canada,281.7994308,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2026,Canada,287.0195225,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2027,Canada,291.0074606,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
2028,Canada,291.040583,Bitume extrait à  ciel ouvert,Prix élevés,Mille mètres cubes par jour
